Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
NuGet.0001,El paquete NuGet no es compatible,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,MaterialDesignColors 5.3.1,,,,,"MaterialDesignColors, 5.3.1  Recomendación:  MaterialDesignColors, 5.2.1"
NuGet.0001,El paquete NuGet no es compatible,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,MaterialDesignThemes 5.3.1,,,,,"MaterialDesignThemes, 5.3.1  Recomendación:  MaterialDesignThemes, 5.2.1"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,Microsoft.Bcl.Cryptography 10.0.6,,,,,"Microsoft.Bcl.Cryptography, 10.0.6  Recomendación:  Remove Microsoft.Bcl.Cryptography, and replace with new package Microsoft.Bcl.Cryptography 10.0.7"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,Microsoft.Bcl.HashCode 1.1.1,,,,,"Microsoft.Bcl.HashCode, 1.1.1  Recomendación:  Remove Microsoft.Bcl.HashCode, and replace with new package Microsoft.Bcl.HashCode 6.0.0"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,Microsoft.Bcl.TimeProvider 10.0.6,,,,,"Microsoft.Bcl.TimeProvider, 10.0.6  Recomendación:  Remove Microsoft.Bcl.TimeProvider, and replace with new package Microsoft.Bcl.TimeProvider 10.0.7"
NuGet.0001,El paquete NuGet no es compatible,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,Microsoft.Data.SqlClient.SNI 6.0.2,,,,,"Microsoft.Data.SqlClient.SNI, 6.0.2  Recomendación:  No se encontró ninguna versión compatible"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,Microsoft.Data.Sqlite.Core 10.0.6,,,,,"Microsoft.Data.Sqlite.Core, 10.0.6  Recomendación:  Remove Microsoft.Data.Sqlite.Core, and replace with new package Microsoft.Data.Sqlite.Core 10.0.7"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,Microsoft.EntityFrameworkCore 3.1.32,,,,,"Microsoft.EntityFrameworkCore, 3.1.32  Recomendación:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.7"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,Microsoft.EntityFrameworkCore.Abstractions 3.1.32,,,,,"Microsoft.EntityFrameworkCore.Abstractions, 3.1.32  Recomendación:  Remove Microsoft.EntityFrameworkCore.Abstractions, and replace with new package Microsoft.EntityFrameworkCore.Abstractions 10.0.7"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,Microsoft.EntityFrameworkCore.Analyzers 3.1.32,,,,,"Microsoft.EntityFrameworkCore.Analyzers, 3.1.32  Recomendación:  Remove Microsoft.EntityFrameworkCore.Analyzers, and replace with new package Microsoft.EntityFrameworkCore.Analyzers 10.0.7"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,Microsoft.EntityFrameworkCore.Design 3.1.32,,,,,"Microsoft.EntityFrameworkCore.Design, 3.1.32  Recomendación:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.7"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,Microsoft.EntityFrameworkCore.Relational 3.1.32,,,,,"Microsoft.EntityFrameworkCore.Relational, 3.1.32  Recomendación:  Remove Microsoft.EntityFrameworkCore.Relational, and replace with new package Microsoft.EntityFrameworkCore.Relational 10.0.7"
